VideoID,CommentsTotal,CommentsClean,CareScore,FairnessScore,LoyaltyScore,AuthorityScore,SanctityScore,CIIndex,NarrativeLabel,SilhouetteScore,VideoCommentAlignment,CollectiveAction
S3LBAlp80-k,927.0,187,1.296997679771628,8.939662309781012,0.3749524184723937,2.566107951797134,1.7370130744045211,0.6650485436893204,Choose (personal),-0.24555236,0.8002523,0.0078612043554505
oDcVD1e7w3g,128.0,99,1.2143372763496318,1.378252329770712,-0.1340423315556561,-0.3457773482946162,0.5883044875924511,0.8529411764705883,Good health (benefits),-0.026650988,0.6454563,0.0105137256281498
KPH33RF1zzA,140.0,123,-0.1479525492888199,4.071842003036533,2.7382975828469256,0.5979222254459616,-0.1102530435285848,0.75,Good health (personal),-0.019587275,0.0056749587,0.0009740931707588
1PAdXKShnJ4,5.0,5,1.3256248142985216,0.0643860809890463,0.2325325602200302,-0.3595966302592416,1.4883896429330898,0.75,Good health (benefits),-0.045082748,0.21492767,0.0285714285714285
FbWK4oFe264,,0,0.3400564763514004,1.1152794764752012,1.745177774223902,-0.3560722696295952,0.8559340912688422,0.75,Noise,,,
wfxXv1H3Au4,55.0,39,1.5617307840245935,-0.2893958215026338,6.939520465391508,-0.36942323938319,2.998147738268187,0.25,Educate (inspire),0.04462427,0.47817987,0.0071941375580978
sKPblPtFVY4,,0,0.8957723203564928,0.2022704146274145,2.892724104692898,0.8770883219614826,0.6999420557111554,0.7753623188405797,Noise,,,
H-nlTsBAQnQ,,0,-0.1171855445159333,-0.2271946625246266,-0.0421496387704497,0.0648997433258847,0.243218330524205,0.971153846153846,Good health (personal),-0.068291984,,
MfovIeXlZdk,84.0,0,1.4893569406612253,1.5333842743293826,1.2047905506470515,0.5178153255929427,7.771633097623761,0.9583333333333331,Choose (personal),0.037236676,,
Cv-eL3YCCSo,37.0,33,-0.1659956077487544,-0.2190004577334895,-0.1616894534095678,-0.3453800259717633,-0.1806538633030464,0.960648148148148,Good health (personal),-0.07595293,0.63881207,0.0059155911168295
vkzi8pOP16I,35.0,18,1.307452562443811,0.2211700362165229,0.4445985816976264,0.1484448944186776,2.4962852270905342,0.75,Good health (benefits),-0.029557344,0.17297286,0.0
